SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00313 POS_3D7-K1-HB3-FCB1_1-5-5-5 msp7 msp7-21 3646 3 5 0.00654460599533297 0.00527216367270602
A00313 POS_3D7-K1-HB3-FCB1_1-5-5-5 msp7 msp7-5 3903 3 5 0.00700592353257943 0.00624007076418481
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-9 108 1 4 0.000219088712671239 0.000227117502987926
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-21 127 1 4 0.000257632097307846 0.000318354485292757
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-5 148 1 4 0.000300232680327254 0.000307163632863398
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-4 5375 1 4 0.0109037206537769 0.0121129248728525
A00264 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-21 188 2 4 0.000350994453167445 0.000318354485292757
A00264 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-5 227 2 4 0.000423807132281968 0.000307163632863398
A00264 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-4 7403 2 4 0.0138213400893542 0.0121129248728525
A00311 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-5 110 3 4 0.000197451085980973 0.000307163632863398
A00311 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-9 131 3 4 0.000235146293304613 0.000227117502987926
A00311 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-21 193 3 4 0.00034643690540298 0.000318354485292757
A00311 POS_3D7-K1-HB3-FCB1_50-1-1-1 msp7 msp7-4 6470 3 4 0.0116137138754263 0.0121129248728525
A00215 POS_3D7:HB3_500-1 msp7 msp7-4 8456 1 1 0.0171538347624815 0.017206901114384
A00262 POS_3D7:HB3_500-1 msp7 msp7-4 7244 2 1 0.0135244883975796 0.017206901114384
A00309 POS_3D7:HB3_500-1 msp7 msp7-4 11667 3 1 0.020942380183091 0.017206901114384
A00193 S1_D0 msp7 msp7-1 4873 1 1 0.00988536385969396 0.0258168468617297
A00240 S1_D0 msp7 msp7-1 18592 2 1 0.0347111110281337 0.0258168468617297
A00287 S1_D0 msp7 msp7-1 18303 3 1 0.0328540656973613 0.0258168468617297
A00220 S1_DX msp7 msp7-1 4093 1 1 0.00830305649040168 0.0178603532625384
A00267 S1_DX msp7 msp7-1 11231 2 1 0.0209681845932105 0.0178603532625384
A00314 S1_DX msp7 msp7-1 13543 3 1 0.0243098187040029 0.0178603532625384
A00202 S10_D0 msp7 msp7-1 28452 1 1 0.0577177041937231 0.0355696501184125
A00249 S10_D0 msp7 msp7-1 15262 2 1 0.0284940284268167 0.0355696501184125
A00296 S10_D0 msp7 msp7-1 11419 3 1 0.0204972177346975 0.0355696501184125
A00229 S10_DX msp7 msp7-1 9846 1 1 0.019973587638528 0.0174708866610732
A00276 S10_DX msp7 msp7-1 6005 2 1 0.0112112855918644 0.0174708866610732
A00323 S10_DX msp7 msp7-1 11826 3 1 0.0212277867528271 0.0174708866610732
A00203 S11_D0 msp7 msp7-1 10415 1 1 0.0211278605784348 0.0208552948721541
