SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 ama1-D3 ama1-D3-53 40 1 4 0.000239050015239438 0.000239050015239438
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 ama1-D3 ama1-D3-51 80 1 4 0.000478100030478877 0.000478100030478877
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 ama1-D3 ama1-D3-18 2279 1 4 0.013619874618267 0.0178819014362609
A00311 POS_3D7-K1-HB3-FCB1_50-1-1-1 ama1-D3 ama1-D3-18 4563 2 4 0.0221439282542548 0.0178819014362609
A00215 POS_3D7:HB3_500-1 ama1-D3 ama1-D3-18 2678 1 1 0.0160043985202804 0.0230350449953532
A00262 POS_3D7:HB3_500-1 ama1-D3 ama1-D3-18 4372 2 1 0.0212170182615827 0.0230350449953532
A00309 POS_3D7:HB3_500-1 ama1-D3 ama1-D3-18 5984 3 1 0.0318837182041965 0.0230350449953532
A00193 S1_D0 ama1-D3 ama1-D3-1 4424 1 1 0.0264389316854819 0.0344105717479623
A00240 S1_D0 ama1-D3 ama1-D3-1 8940 2 1 0.0433852111753316 0.0344105717479623
A00287 S1_D0 ama1-D3 ama1-D3-1 6270 3 1 0.0334075723830735 0.0344105717479623
A00220 S1_DX ama1-D3 ama1-D3-1 4124 1 1 0.0246460565711861 0.0197720374081296
A00267 S1_DX ama1-D3 ama1-D3-1 4945 2 1 0.023997748239599 0.0197720374081296
A00314 S1_DX ama1-D3 ama1-D3-1 2003 3 1 0.0106723074136039 0.0197720374081296
A00202 S10_D0 ama1-D3 ama1-D3-12 2925 1 1 0.0174805323643839 0.0264804881316959
A00249 S10_D0 ama1-D3 ama1-D3-12 8443 2 1 0.0409733040216247 0.0264804881316959
A00296 S10_D0 ama1-D3 ama1-D3-12 3939 3 1 0.0209876280090792 0.0264804881316959
A00229 S10_DX ama1-D3 ama1-D3-12 4031 1 1 0.0240902652857544 0.0205842319450993
A00276 S10_DX ama1-D3 ama1-D3-12 4456 2 1 0.0216246645410825 0.0205842319450993
A00323 S10_DX ama1-D3 ama1-D3-12 3010 3 1 0.0160377660084611 0.0205842319450993
A00203 S11_D0 ama1-D3 ama1-D3-28 2734 1 1 0.0163390685416156 0.0203969870790985
A00250 S11_D0 ama1-D3 ama1-D3-28 4385 2 1 0.0212801063762672 0.0203969870790985
A00297 S11_D0 ama1-D3 ama1-D3-28 4424 3 1 0.0235717863194126 0.0203969870790985
A00230 S11_DX ama1-D3 ama1-D3-28 3953 1 1 0.0236241177560375 0.0191484488287595
A00277 S11_DX ama1-D3 ama1-D3-28 3547 2 1 0.0172133494450672 0.0191484488287595
