SampleID SampleName MarkerID Haplotype Reads Replicate MOI HapFreqRep HapFreq
A00217 POS_3D7-K1-HB3-FCB1_50-1-1-1 cpp cpp-26 2659 1 4 0.0128205128205128 0.0132132674049254
A00264 POS_3D7-K1-HB3-FCB1_50-1-1-1 cpp cpp-2 69 2 4 0.00035980601762528 0.000238617641388933
A00264 POS_3D7-K1-HB3-FCB1_50-1-1-1 cpp cpp-17 109 2 4 0.000568389216248631 0.000494659715584951
A00264 POS_3D7-K1-HB3-FCB1_50-1-1-1 cpp cpp-39 110 2 4 0.000573603796214215 0.000320693488531463
A00264 POS_3D7-K1-HB3-FCB1_50-1-1-1 cpp cpp-26 3263 2 4 0.0170151744276998 0.0132132674049254
A00311 POS_3D7-K1-HB3-FCB1_50-1-1-1 cpp cpp-39 25 3 4 0.000123291184187166 0.000320693488531463
A00311 POS_3D7-K1-HB3-FCB1_50-1-1-1 cpp cpp-2 37 3 4 0.000182470952597006 0.000238617641388933
A00311 POS_3D7-K1-HB3-FCB1_50-1-1-1 cpp cpp-17 83 3 4 0.000409326731501391 0.000494659715584951
A00311 POS_3D7-K1-HB3-FCB1_50-1-1-1 cpp cpp-26 1988 3 4 0.00980411496656343 0.0132132674049254
A00215 POS_3D7:HB3_500-1 cpp cpp-26 5095 1 1 0.0245658190374249 0.0198067736590472
A00262 POS_3D7:HB3_500-1 cpp cpp-26 2519 2 1 0.0131355269333055 0.0198067736590472
A00309 POS_3D7:HB3_500-1 cpp cpp-26 4404 3 1 0.0217189750064111 0.0198067736590472
A00193 S1_D0 cpp cpp-1 2214 1 1 0.0106749211675876 0.0268827174188848
A00240 S1_D0 cpp cpp-1 5693 2 1 0.0296866037440684 0.0268827174188848
A00287 S1_D0 cpp cpp-1 8169 3 1 0.0402866273449983 0.0268827174188848
A00220 S1_DX cpp cpp-1 3263 1 1 0.0157327316033597 0.0240359825272383
A00267 S1_DX cpp cpp-1 4642 2 1 0.0242060802002399 0.0240359825272383
A00314 S1_DX cpp cpp-1 6523 3 1 0.0321691357781153 0.0240359825272383
A00202 S10_D0 cpp cpp-14 6502 1 1 0.0313497459040896 0.0248637844830671
A00249 S10_D0 cpp cpp-14 5459 2 1 0.0284663920321218 0.0248637844830671
A00296 S10_D0 cpp cpp-14 2996 3 1 0.01477521551299 0.0248637844830671
A00229 S10_DX cpp cpp-14 3999 1 1 0.0192813955506697 0.0156374117368152
A00276 S10_DX cpp cpp-14 1582 2 1 0.00824946550555353 0.0156374117368152
A00323 S10_DX cpp cpp-14 3930 3 1 0.0193813741542225 0.0156374117368152
A00203 S11_D0 cpp cpp-11 4102 1 1 0.0197780156411221 0.0235542953090883
A00250 S11_D0 cpp cpp-11 4881 2 1 0.0254523648120144 0.0235542953090883
A00297 S11_D0 cpp cpp-11 5157 3 1 0.0254325054741286 0.0235542953090883
A00230 S11_DX cpp cpp-11 3451 1 1 0.0166391838072921 0.021976066549193
A00277 S11_DX cpp cpp-11 4278 2 1 0.0223079730927674 0.021976066549193
A00324 S11_DX cpp cpp-11 5471 3 1 0.0269810427475194 0.021976066549193
A00204 S12_D0 cpp cpp-14 1773 1 2 0.00854861573176729 0.00600855849301661
A00204 S12_D0 cpp cpp-16 5621 1 2 0.0271019565867253 0.0196318864238636
A00251 S12_D0 cpp cpp-14 988 2 2 0.00515200500599677 0.00600855849301661
A00251 S12_D0 cpp cpp-16 3327 2 2 0.0173489075454972 0.0196318864238636
A00298 S12_D0 cpp cpp-14 877 3 2 0.00432505474128578 0.00600855849301661
A00298 S12_D0 cpp cpp-16 2929 3 2 0.0144447951393684 0.0196318864238636
A00231 S12_DX cpp cpp-16 3637 1 1 0.0175359929026721 0.0206787287242473
A00278 S12_DX cpp cpp-16 3981 2 1 0.020759242842989 0.0206787287242473
A00325 S12_DX cpp cpp-16 4814 3 1 0.0237409504270807 0.0206787287242473
A00252 S13_D0 cpp cpp-33 655 1 2 0.0031581180509349 0.00198579626278298
A00252 S13_D0 cpp cpp-11 2198 1 2 0.0105977762991678 0.0063287676927867
A00299 S13_D0 cpp cpp-33 156 2 2 0.000813474474631069 0.00198579626278298
A00299 S13_D0 cpp cpp-11 395 2 2 0.00205975908640559 0.0063287676927867
A00232 S13_DX cpp cpp-11 357 1 2 0.00172129487661643 0.0017630833044934
A00232 S13_DX cpp cpp-33 2739 1 2 0.0132062371626117 0.0135011439021164
A00279 S13_DX cpp cpp-11 357 2 2 0.00186160504771341 0.0017630833044934
A00279 S13_DX cpp cpp-33 2599 2 2 0.0135526933305522 0.0135011439021164
A00326 S13_DX cpp cpp-11 346 3 2 0.00170634998915038 0.0017630833044934
A00326 S13_DX cpp cpp-33 2787 3 2 0.0137445012131853 0.0135011439021164
A00206 S14_D0 cpp cpp-13 1216 1 2 0.00586300999990357 0.00515433185059126
A00206 S14_D0 cpp cpp-28 3289 1 2 0.0158580920145418 0.0137868022494364
A00253 S14_D0 cpp cpp-13 1039 2 2 0.00541794858424154 0.00515433185059126
A00253 S14_D0 cpp cpp-28 2687 2 2 0.0140115763675236 0.0137868022494364
A00300 S14_D0 cpp cpp-13 848 3 2 0.00418203696762867 0.00515433185059126
A00300 S14_D0 cpp cpp-28 2330 3 2 0.0114907383662439 0.0137868022494364
A00233 S14_DX cpp cpp-13 2238 1 1 0.0107906384702173 0.0116384013998892
A00280 S14_DX cpp cpp-13 2698 2 1 0.014068936747145 0.0116384013998892
A00327 S14_DX cpp cpp-13 2039 3 1 0.0100556289823052 0.0116384013998892
A00207 S15_D0 cpp cpp-21 3638 1 1 0.0175408144569483 0.0242618479828492
A00254 S15_D0 cpp cpp-21 4882 2 1 0.02545757939198 0.0242618479828492
A00301 S15_D0 cpp cpp-21 6040 3 1 0.0297871500996193 0.0242618479828492
A00234 S15_DX cpp cpp-31 2158 1 1 0.0104049141281183 0.0117318500677319
A00281 S15_DX cpp cpp-31 2211 2 1 0.0115294363039057 0.0117318500677319
A00328 S15_DX cpp cpp-31 2689 3 1 0.0132611997711716 0.0117318500677319
A00208 S16_D0 cpp cpp-24 2598 1 1 0.0125263980096624 0.0214424006389977
A00255 S16_D0 cpp cpp-24 4179 2 1 0.0217917296761746 0.0214424006389977
A00302 S16_D0 cpp cpp-24 6085 3 1 0.0300090742311562 0.0214424006389977
A00235 S16_DX cpp cpp-24 2180 1 1 0.0105109883221955 0.0107101961194148
A00282 S16_DX cpp cpp-24 468 2 1 0.00244042342389321 0.0107101961194148
A00329 S16_DX cpp cpp-24 3889 3 1 0.0191791766121555 0.0107101961194148
A00209 S17_D0 cpp cpp-32 3395 1 1 0.0163691767678229 0.0201728626088566
A00256 S17_D0 cpp cpp-32 4920 2 1 0.0256557334306722 0.0201728626088566
A00303 S17_D0 cpp cpp-32 3750 3 1 0.0184936776280749 0.0201728626088566
A00236 S17_DX cpp cpp-32 8174 1 1 0.039411384653957 0.0358050473459829
A00283 S17_DX cpp cpp-32 7273 2 1 0.0379256400896908 0.0358050473459829
A00330 S17_DX cpp cpp-32 6099 3 1 0.030078117294301 0.0358050473459829
A00210 S18_D0 cpp cpp-33 10216 1 1 0.049256998486032 0.0359718937750751
A00257 S18_D0 cpp cpp-33 7501 2 1 0.0391145643218439 0.0359718937750751
A00304 S18_D0 cpp cpp-33 3963 3 1 0.0195441185173495 0.0359718937750751
A00237 S18_DX cpp cpp-10 3292 1 3 0.0158725566773705 0.00935667067270021
A00237 S18_DX cpp cpp-39 4860 1 3 0.0234327537825093 0.0136902010311819
A00237 S18_DX cpp cpp-23 5544 1 3 0.0267306969074551 0.0158732361672833
A00284 S18_DX cpp cpp-10 1452 2 3 0.00757157011002764 0.00935667067270021
A00284 S18_DX cpp cpp-39 2152 2 3 0.0112217760859363 0.0136902010311819
A00284 S18_DX cpp cpp-23 2348 2 3 0.0122438337591907 0.0158732361672833
A00331 S18_DX cpp cpp-10 938 3 3 0.00462588523070246 0.00935667067270021
A00331 S18_DX cpp cpp-39 1301 3 3 0.00641607322510011 0.0136902010311819
A00331 S18_DX cpp cpp-23 1753 3 3 0.00864517783520407 0.0158732361672833
A00211 S19_D0 cpp cpp-13 47 1 3 0.000226613050983115 0.000262306338362255
A00211 S19_D0 cpp cpp-36 49 1 3 0.000236256159535588 0.000347162080874471
A00211 S19_D0 cpp cpp-25 3532 1 3 0.0170297297036673 0.0207954471098177
A00258 S19_D0 cpp cpp-13 63 2 3 0.000328518537831778 0.000262306338362255
A00258 S19_D0 cpp cpp-36 92 2 3 0.000479741356833707 0.000347162080874471
A00258 S19_D0 cpp cpp-25 4986 2 3 0.0259998957084007 0.0207954471098177
A00305 S19_D0 cpp cpp-13 47 3 3 0.000231787426271872 0.000262306338362255
A00305 S19_D0 cpp cpp-36 66 3 3 0.000325488726254118 0.000347162080874471
A00305 S19_D0 cpp cpp-25 3925 3 3 0.019356715917385 0.0207954471098177
A00238 S19_DX cpp cpp-25 3846 1 1 0.0185436977464055 0.0196031992399348
A00285 S19_DX cpp cpp-25 3622 2 1 0.0188872086353444 0.0196031992399348
A00332 S19_DX cpp cpp-25 4335 3 1 0.0213786913380546 0.0196031992399348
A00194 S2_D0 cpp cpp-3 77 1 2 0.00037125967927021 0.000292528728929572
A00194 S2_D0 cpp cpp-2 7505 1 2 0.0361857648431548 0.0306011282116422
A00241 S2_D0 cpp cpp-3 41 2 2 0.000213797778588935 0.000292528728929572
A00241 S2_D0 cpp cpp-2 4056 2 2 0.0211503363404078 0.0306011282116422
A00288 S2_D0 cpp cpp-2 6989 3 2 0.0344672834513641 0.0306011282116422
A00221 S2_DX cpp cpp-2 136 1 2 0.000655731381568162 0.00069031642734467
A00221 S2_DX cpp cpp-43 3179 1 2 0.0153277210441558 0.0161611369849488
A00268 S2_DX cpp cpp-2 104 2 2 0.000542316316420712 0.00069031642734467
A00268 S2_DX cpp cpp-43 3208 2 2 0.0167283725295927 0.0161611369849488
A00315 S2_DX cpp cpp-2 177 3 2 0.000872901584045134 0.00069031642734467
A00315 S2_DX cpp cpp-43 3331 3 2 0.016427317381098 0.0161611369849488
A00212 S20_D0 cpp cpp-13 3235 1 1 0.015597728083625 0.0258578596495116
A00259 S20_D0 cpp cpp-13 7878 2 1 0.041080460968869 0.0258578596495116
A00306 S20_D0 cpp cpp-13 4237 3 1 0.0208953898960409 0.0258578596495116
A00239 S20_DX cpp cpp-10 5959 1 1 0.0287316419320932 0.0310289024743461
A00286 S20_DX cpp cpp-10 4661 2 1 0.024305157219586 0.0310289024743461
A00333 S20_DX cpp cpp-10 8121 3 1 0.040049908271359 0.0310289024743461
A00195 S3_D0 cpp cpp-4 5363 1 1 0.0258579955834563 0.0336198883569812
A00242 S3_D0 cpp cpp-4 6436 2 1 0.0335610366584972 0.0336198883569812
A00289 S3_D0 cpp cpp-4 8403 3 1 0.0414406328289902 0.0336198883569812
A00222 S3_DX cpp cpp-4 3112 1 1 0.0150046769076479 0.016943211352844
A00269 S3_DX cpp cpp-4 3439 2 1 0.0179329405016426 0.016943211352844
A00316 S3_DX cpp cpp-4 3628 3 1 0.0178920166492415 0.016943211352844
A00196 S4_D0 cpp cpp-10 212 1 4 0.00102216950656214 0.0011543481705536
A00196 S4_D0 cpp cpp-9 570 1 4 0.0027482859374548 0.0034398115010378
A00196 S4_D0 cpp cpp-8 631 1 4 0.00304240074830522 0.00376905696546263
A00196 S4_D0 cpp cpp-7 2132 1 4 0.0102795537169362 0.012420751519849
A00243 S4_D0 cpp cpp-10 243 2 4 0.00126714293163686 0.0011543481705536
A00243 S4_D0 cpp cpp-9 701 2 4 0.00365542055587422 0.0034398115010378
A00243 S4_D0 cpp cpp-8 782 2 4 0.00407780153308651 0.00376905696546263
A00243 S4_D0 cpp cpp-7 2603 2 4 0.0135735516504146 0.012420751519849
A00290 S4_D0 cpp cpp-10 238 3 4 0.00117373207346182 0.0011543481705536
A00290 S4_D0 cpp cpp-9 794 3 4 0.00391572800978439 0.0034398115010378
A00290 S4_D0 cpp cpp-8 849 3 4 0.00418696861499615 0.00376905696546263
A00290 S4_D0 cpp cpp-7 2719 3 4 0.0134091491921962 0.012420751519849
A00223 S4_DX cpp cpp-7 3061 1 1 0.0147587776395599 0.0143070476102768
A00270 S4_DX cpp cpp-7 1613 2 1 0.00841111748448663 0.0143070476102768
A00317 S4_DX cpp cpp-7 4005 3 1 0.019751247706784 0.0143070476102768
A00197 S5_D0 cpp cpp-3 2670 1 1 0.0128735499175514 0.0290844938251847
A00244 S5_D0 cpp cpp-3 5999 2 1 0.0312822652135371 0.0290844938251847
A00291 S5_D0 cpp cpp-3 8739 3 1 0.0430976663444657 0.0290844938251847
A00224 S5_DX cpp cpp-3 2596 1 1 0.0125167549011099 0.0153019147888275
A00271 S5_DX cpp cpp-3 2673 2 1 0.0139385722480054 0.0153019147888275
A00318 S5_DX cpp cpp-3 3944 3 1 0.0194504172173673 0.0153019147888275
